Year,Station,PRCP,Date,Avr_Prcp,Avr_Prcp_Pct
2007,688160,24.94,2007-01-01,0.4601873536299765,46.018735362997646
2008,688160,21.62,2008-01-01,0.2658079625292739,26.580796252927392
2009,688160,22.64,2009-01-01,0.32552693208430905,32.5526932084309
2010,688160,14.23,2010-01-01,-0.16686182669789235,-16.686182669789236
2011,688160,14.7,2011-01-01,-0.1393442622950821,-13.93442622950821
2012,688160,15.61,2012-01-01,-0.08606557377049194,-8.606557377049194
2013,688160,26.79,2013-01-01,0.5685011709601872,56.850117096018714
2014,688160,20.09,2014-01-01,0.17622950819672117,17.622950819672116
2015,688160,12.64,2015-01-01,-0.2599531615925059,-25.995316159250592
2016,688160,8.64,2016-01-01,-0.4941451990632319,-49.41451990632319
2017,688160,5.98,2017-01-02,-0.6498829039812647,-64.98829039812647
